,Type,Date,Num,Name,Memo,Clr,Split,Amount,Balance
,Deposit,6/10/15,,"GoldenWest Management, Inc",6/2015 Fort Pike,X,Rental Income,1550,15644.31
,Check,6/10/15,,"GoldenWest Management, Inc",6/2015 Bright Leaf,X,Management Fees,-85,15559.31
,Deposit,6/10/15,,"GoldenWest Management, Inc",6/2015 Bright Leaf,X,Rental Income,1075,16634.31
,Check,7/3/15,,"GoldenWest Management, Inc",7/2015 fort pike,X,Management Fees,-115,16519.31
,Deposit,7/3/15,,"GoldenWest Management, Inc",7/2015 bright leaf,X,Rental Income,1075,17594.31
,Deposit,7/3/15,,"GoldenWest Management, Inc",7/2015 fort pike,X,Rental Income,1550,19144.31
,Check,7/3/15,,"GoldenWest Management, Inc",7/2015 bright leaf,X,Management Fees,-85,19059.31
,Check,7/3/15,,Cortis Property service,bright leaf $195-60=135,X,Repairs and Maintenance,-195,18864.31
,Check,7/10/15,,Clark County Water Reclamation,from 7/2015 to 7/2016 paid aty southwest credit card Fort Pike,X,Utilities,-225.09,18639.22
,Check,7/23/15,,Clark County Treasures,bright leaf 7/2015 to 6/2016,X,Property Tax,-1198.69,17440.53
,Check,7/23/15,,Clark County Treasures,fort pike 7/2015 to 6/2016,X,Property Tax,-1960.73,15479.8
,Check,8/4/15,,"GoldenWest Management, Inc",bright leaf 8/2015,X,Management Fees,-85,15394.8
,Deposit,8/4/15,,"GoldenWest Management, Inc",fort pike 8/2015,X,Rental Income,1550,16944.8
,Deposit,8/4/15,,"GoldenWest Management, Inc",bright leaf 8/2015,X,Rental Income,1075,18019.8
,Check,8/4/15,,"GoldenWest Management, Inc",fort pike 8/2015,X,Management Fees,-115,17904.8
,Deposit,9/1/15,,"GoldenWest Management, Inc",fort pike 9/2015,X,Rental Income,1550,19244.8
,Check,9/1/15,,"GoldenWest Management, Inc",fort pike 9/2015,X,Management Fees,-115,19129.8
,Deposit,9/1/15,,"GoldenWest Management, Inc",bright leaf 9/2015,X,Rental Income,1075,20204.8
,Check,9/1/15,,"GoldenWest Management, Inc",bright leaf 9/2015,X,Management Fees,-85,20119.8
,Check,9/17/15,,ELDORADO THIRD CA,9/1/2015 Bright Leaf,X,Community Association Fee,-64,20055.8
,Check,9/17/15,,MOUNTAINS EDGE MASTER ASSOCIATION,9/2015 aty paid Fort Pike,X,Community Association Fee,-192,19863.8
,Deposit,10/7/15,,"GoldenWest Management, Inc",bright leaf 10/2015 1075+60,X,Rental Income,1075,20938.8
,Check,10/7/15,,"GoldenWest Management, Inc",bright leaf 10/2015,X,Management Fees,-85,20853.8
,Check,10/7/15,,Cortis Property service,bright leaf,X,Repairs and Maintenance,-237,20616.8
,Deposit,10/7/15,,"GoldenWest Management, Inc",fort pike 10/2015,X,Rental Income,1550,22166.8
,Check,10/7/15,,"GoldenWest Management, Inc",fort pike 10/2015,X,Management Fees,-115,22051.8
,Deposit,11/10/15,,"GoldenWest Management, Inc",fort pike 11/2015,X,Rental Income,1550,23601.8
,Check,11/10/15,,"GoldenWest Management, Inc",fort pike 11/2015,X,Management Fees,-115,23486.8
,Deposit,11/10/15,,"GoldenWest Management, Inc",bright leaf 11/2015,X,Rental Income,1075,24561.8
,Check,11/10/15,,"GoldenWest Management, Inc",bright leaf 11/2015,X,Management Fees,-85,24476.8
,Check,12/7/15,,ELDORADO THIRD CA,12/2015 boa check,X,Community Association Fee,-63,24413.8
,Deposit,12/8/15,,"GoldenWest Management, Inc",fort pike 12/2015,X,Rental Income,1550,25963.8
,Check,12/8/15,,"GoldenWest Management, Inc",fort pike 12/2015,X,Management Fees,-115,25848.8
,Deposit,12/8/15,,"GoldenWest Management, Inc",bright leaf 12/2015,X,Rental Income,1075,26923.8
,Check,12/8/15,,"GoldenWest Management, Inc",bright leaf 12/2015,X,Management Fees,-85,26838.8
,Check,12/20/15,,MOUNTAINS EDGE MASTER ASSOCIATION,12/2015 aty paid fort pike,X,Community Association Fee,-192,26646.8
,Check,1/5/16,,State Farm Fire and Casualty Company,bright leaf,X,Insurance Expense,-567,11271.58
,Check,1/5/16,,State Farm Fire and Casualty Company,fort pike,X,Insurance Expense,-713,10558.58
,Deposit,1/9/16,,"GoldenWest Management, Inc",fort pike 1/2016,X,Rental Income,1550,12108.58
,Deposit,1/9/16,,"GoldenWest Management, Inc",bright leaf 1/2016,X,Rental Income,1075,13183.58
,Check,1/9/16,,"GoldenWest Management, Inc",1/1/2016 Bright Leaf,X,Management Fees,-85,13098.58
,Check,1/9/16,,"GoldenWest Management, Inc",1/1/2016 Fort Pike,X,Management Fees,-115,12983.58
,Deposit,2/1/16,,"GoldenWest Management, Inc",bright leaf 2/2016,X,Rental Income,1075,14058.58
,Check,2/4/16,,"GoldenWest Management, Inc", Bright Leaf,X,Management Fees,-85,13973.58
,Check,2/4/16,,"GoldenWest Management, Inc",Axon Pest Control (BEE) Bright Leaf,X,Repairs and Maintenance,-125,13848.58
,Deposit,2/4/16,,"GoldenWest Management, Inc",fort pike 2/2016 (1550+60),X,Rental Income,1610,15458.58
,Check,2/4/16,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,15343.58
,Check,2/4/16,,Cortis Property service,installed 2 new light Fort Pike,X,Repairs and Maintenance,-86,15257.58
,Check,3/10/16,,ELDORADO THIRD CA,3/2016 boa checking Bright Leaf,X,Community Association Fee,-63,194.58
,Check,3/10/16,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,109.58
,Check,3/10/16,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,-5.42
,Deposit,3/10/16,,"GoldenWest Management, Inc",3/1/2016 Bright Leaf,X,Rental Income,1075,1069.58
,Deposit,3/10/16,,"GoldenWest Management, Inc",3/1/2016 Fort Pike,X,Rental Income,1550,2619.58
,Check,3/24/16,,MOUNTAINS EDGE MASTER ASSOCIATION,3/2016 aty chk #1110 Fort Pike,X,Community Association Fee,-192,2427.58
,Deposit,4/7/16,,"GoldenWest Management, Inc",4/1/2016 Bright Leaf,X,Rental Income,1075,3502.58
,Deposit,4/7/16,,"GoldenWest Management, Inc",4/1/2016 Fort Pike,X,Rental Income,1550,5052.58
,Check,4/7/16,,"GoldenWest Management, Inc",4/1/2016 Bright Leaf,X,Management Fees,-85,4967.58
,Check,4/7/16,,"GoldenWest Management, Inc",4/1/2016 Fort Pike,X,Management Fees,-115,4852.58
,Check,4/7/16,,Cortis Property service,bright leaf (Dryer),X,Repairs and Maintenance,-105,4747.58
,Check,4/7/16,,AMERICAN HOME MECHANICAL LLC.,AIR CONDITION CHECK UP bright leaf,X,Repairs and Maintenance,-50,4697.58
,Check,4/10/16,,FRANCHISE TAX BOARD,BOA CHK #1532,X,LLC Tax,-800,3897.58
,Check,5/6/16,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,3812.58
,Deposit,5/6/16,,"GoldenWest Management, Inc",5/1/2016 Bright Leaf,X,Rental Income,1095,4907.58
,Deposit,5/6/16,,"GoldenWest Management, Inc",5/1/2016 Fort Pike,X,Rental Income,1550,6457.58
,Check,5/6/16,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,6342.58
,Check,6/8/16,,"GoldenWest Management, Inc",6/1/2016 Bright Leaf,X,Management Fees,-85,6067.58
,Check,6/8/16,,"GoldenWest Management, Inc",6/1/2016 Fort Pike,X,Management Fees,-115,5952.58
,Deposit,6/8/16,,"GoldenWest Management, Inc",6/1/2016 Bright Leaf,X,Rental Income,1095,7047.58
,Deposit,6/8/16,,"GoldenWest Management, Inc",6/1/2016 Fort Pike,X,Rental Income,1550,8597.58
,Check,6/8/16,,AMERICAN HOME MECHANICAL LLC.,AIR CONDITION CHECK UP fort pike,X,Repairs and Maintenance,-160,8437.58
,Check,6/14/16,,MOUNTAINS EDGE MASTER ASSOCIATION,7/2016 to 9/2016 boa chk #1543 Fort Pike,X,Community Association Fee,-192,8245.58
,Check,6/15/16,,ELDORADO THIRD CA,7/2016 boa chk #1542 Bright Leaf,X,Community Association Fee,-63,8182.58
,Check,6/30/16,,AMERICAN HOME MECHANICAL LLC.,10001 fort pike HVAC Service call,X,Repairs and Maintenance,-68,8094.58
,Deposit,7/5/16,,"GoldenWest Management, Inc",7/1/2016 Fort Pike,X,Rental Income,1550,9644.58
,Deposit,7/5/16,,"GoldenWest Management, Inc",7/1/2016 Bright Leaf,X,Rental Income,1095,10739.58
,Check,7/5/16,,"GoldenWest Management, Inc",7/1/2016 Bright Leaf,X,Management Fees,-85,10654.58
,Check,7/5/16,,"GoldenWest Management, Inc",7/1/2016 Fort Pike,X,Management Fees,-115,10539.58
,Check,7/11/16,,Clark County Water Reclamation,7/2016 to 7/2017 paid vaty spark credit card Fort Pike,X,Utilities,-225.09,10314.49
,Check,7/25/16,,Clark County Treasures,1828 bright leaf Paid 2016 BOA chk#1548,X,Property Tax,-1201.96,9112.53
,Check,7/25/16,,Clark County Treasures,10001 fort pike Paid 2016 BOA chk#1547,X,Property Tax,-1964.99,7147.54
,Check,8/6/16,,"GoldenWest Management, Inc",8/1/2016 Bright Leaf,X,Management Fees,-85,7062.54
,Check,8/6/16,,"GoldenWest Management, Inc",8/1/2016 Fort Pike,X,Management Fees,-115,6947.54
,Deposit,8/6/16,,"GoldenWest Management, Inc",8/1/2016 Bright Leaf,X,Rental Income,1095,8042.54
,Deposit,8/6/16,,"GoldenWest Management, Inc",8/1/2016 Fort Pike,X,Rental Income,1550,9592.54
,Check,8/6/16,,Cortis Property service,1001 fort pike washing machine,X,Repairs and Maintenance,-215,9377.54
,Deposit,9/10/16,,"GoldenWest Management, Inc",9/1/2016 Bright Leaf,X,Rental Income,1095,10532.54
,Deposit,9/10/16,,"GoldenWest Management, Inc",9/1/2016 Fort Pike,X,Rental Income,1550,12082.54
,Check,9/10/16,,"GoldenWest Management, Inc",9/1/2016 Bright Leaf,X,Management Fees,-115,11967.54
,Check,9/10/16,,"GoldenWest Management, Inc",9/1/2016 Fort Pike,X,Management Fees,-85,11882.54
,Check,9/23/16,,MOUNTAINS EDGE MASTER ASSOCIATION,boa pay chk #1553 Fort Pike,X,Community Association Fee,-192,11690.54
,Check,9/23/16,,ELDORADO THIRD CA,boa pay chk #1554 Bright Leaf,X,Community Association Fee,-63,11627.54
,Deposit,10/8/16,,"GoldenWest Management, Inc",10/1/2016 Bright Leaf,X,Rental Income,1095,12643.01
,Check,10/8/16,,"GoldenWest Management, Inc",10/1/2016 Bright Leaf,X,Management Fees,-85,12558.01
,Deposit,10/8/16,,"GoldenWest Management, Inc",10/1/2016 Fort Pike,X,Rental Income,1550,14108.01
,Check,10/8/16,,"GoldenWest Management, Inc",10/1/2016 Fort Pike,X,Management Fees,-115,13993.01
,Check,10/8/16,,Cortis Property service,garbage disposal Fort Pike,X,Repairs and Maintenance,-175,13818.01
,Check,11/3/16,,"GoldenWest Management, Inc",11/1/2016 Bright Leaf,X,Management Fees,-85,13793.01
,Check,11/3/16,,"GoldenWest Management, Inc",11/1/2016 Fort Pike,X,Management Fees,-115,13678.01
,Deposit,11/3/16,,"GoldenWest Management, Inc",11/1/2016 Bright Leaf,X,Rental Income,1095,14773.01
,Deposit,11/3/16,,"GoldenWest Management, Inc",11/1/2016 Fort Pike,X,Rental Income,1550,16323.01
,Deposit,12/11/16,,"GoldenWest Management, Inc",12/1/2016 Bright Leaf,X,Rental Income,1010,14774.69
,Deposit,12/11/16,,"GoldenWest Management, Inc",12/1/2016 Fort Pike,X,Rental Income,1435,16209.69
,Check,12/11/16,,"GoldenWest Management, Inc",12/1/2016 Bright Leaf,X,Management Fees,-115,16094.69
,Check,12/11/16,,"GoldenWest Management, Inc",12/1/2016 Fort Pike,X,Management Fees,-85,16009.69
,Check,12/21/16,,MOUNTAINS EDGE MASTER ASSOCIATION,10/2026 to 12/2016 boa chk#1562 Fort Pike,X,Community Association Fee,-192,15817.69
,Check,12/30/16,,ELDORADO THIRD CA,1st qtr boa paid chk#1564 Bright Leaf,X,Community Association Fee,-63,15754.69
,Check,1/10/17,,"GoldenWest Management, Inc",1/1/2017 Bright Leaf,X,Management Fees,-85,9984.69
,Check,1/10/17,,"GoldenWest Management, Inc",1/1/2017 Fort Pike,X,Management Fees,-115,9869.69
,Deposit,1/10/17,,"GoldenWest Management, Inc",1/1/2017 Bright Leaf,X,Rental Income,1095,10964.69
,Deposit,1/10/17,,"GoldenWest Management, Inc",1/1/2017 Fort Pike,X,Rental Income,1550,12514.69
,Check,1/10/17,,State Farm Fire and Casualty Company,fort pike 2/11/2017 to 2/11/2018,X,Insurance Expense,-623,11891.69
,Check,1/10/17,,State Farm Fire and Casualty Company,bright leaf 1/28/2017 to 1/28/2018,X,Insurance Expense,-496,11395.69
,Check,1/15/17,,ELDORADO THIRD CA,paid boa chk #1564 Bright Leaf,X,Community Association Fee,-63,11332.69
,Deposit,2/2/17,,"GoldenWest Management, Inc",2/1/2017 Fort Pike,X,Rental Income,1550,12882.69
,Deposit,2/2/17,,"GoldenWest Management, Inc",2/1/2017 Bright Leaf,X,Rental Income,1095,13977.69
,Check,2/2/17,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,13892.69
,Check,2/2/17,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,13777.69
,Check,2/27/17,,ELDORADO THIRD CA,paid boa chk #1568 Bright Leaf,X,Community Association Fee,-63,13714.69
,Deposit,3/7/17,,"GoldenWest Management, Inc",3/2017 hold $500 Bright Leaf,X,Rental Income,595,14309.69
,Deposit,3/7/17,,"GoldenWest Management, Inc",3/1/2017 Fort Pike,X,Rental Income,1550,15859.69
,Check,3/7/17,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,15774.69
,Check,3/7/17,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,15659.69
,Check,3/25/17,,MOUNTAINS EDGE MASTER ASSOCIATION,Fort Pike,X,Community Association Fee,-192,8166.85
,Check,4/6/17,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,8081.85
,Check,4/6/17,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,7966.85
,Deposit,4/6/17,,"GoldenWest Management, Inc",4/2017 balance hold $500 Bright Leaf,X,Rental Income,1050,9016.85
,Deposit,4/6/17,,"GoldenWest Management, Inc",4/2017 balance hold $500 Fort Pike,X,Rental Income,1095,10111.85
,Check,4/10/17,,FRANCHISE TAX BOARD,2017,X,LLC Tax,-800,9311.85
,Deposit,5/7/17,,"GoldenWest Management, Inc",5/2017 1550+500 hold+60 co-pay Fort Pike,X,Rental Income,2110,11421.85
,Check,5/7/17,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,11306.85
,Check,5/7/17,,Cortis Property service,plumbing Fort Pike,X,Repairs and Maintenance,-75,11231.85
,Deposit,5/7/17,,"GoldenWest Management, Inc",5/2017 hold $500 Bright Leaf,X,Rental Income,1095,12326.85
,Check,5/7/17,,"GoldenWest Management, Inc",over charge by $30 was $85 Bright Leaf,X,Management Fees,-115,12211.85
,Deposit,5/11/17,,"GoldenWest Management, Inc",refund $30 Bright Leaf,X,Management Fees,30,12241.85
,Deposit,6/2/17,,"GoldenWest Management, Inc",6/2017 hold $500 bright leaf,X,Rental Income,1095,13336.85
,Deposit,6/2/17,,"GoldenWest Management, Inc",6/1/2017 Fort Pike,X,Rental Income,1550,14886.85
,Check,6/2/17,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,14771.85
,Check,6/2/17,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,14686.85
,Check,6/9/17,,ELDORADO THIRD CA,paid boa chk #1579 Bright Leaf,X,Community Association Fee,-63,14623.85
,Check,7/1/17,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,7733.46
,Check,7/1/17,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,7648.46
,Check,7/1/17,,AMERICAN HOME MECHANICAL LLC.,bright leaf air condition,X,Repairs and Maintenance,-95,7553.46
,Deposit,7/1/17,,"GoldenWest Management, Inc",7/1/2017 Fort Pike,X,Rental Income,1550,9103.46
,Deposit,7/1/17,,"GoldenWest Management, Inc",7/2017 balance hold $500 Bright Leaf,X,Rental Income,1095,10198.46
,Check,7/10/17,,MOUNTAINS EDGE MASTER ASSOCIATION,paid boa chk#1583 Fort Pike,X,Community Association Fee,-192,10006.46
,Check,7/11/17,,Clark County Water Reclamation,paid yen laty capital credit card Fort Pike,X,Utilities,-225.09,9781.37
,Check,7/29/17,,Clark County Treasures,Fort Pike 2017-2018,X,Property Tax,-2016.02,7765.35
,Check,7/29/17,,Clark County Treasures,Bright Leaf 2017-2018,X,Property Tax,-1233.15,6532.2
,Deposit,8/7/17,,"GoldenWest Management, Inc",8/2017 balance hold $500 Bright Leaf,X,Rental Income,1095,7627.2
,Deposit,8/7/17,,"GoldenWest Management, Inc",8/1/2017 Fort Pike,X,Rental Income,1550,9177.2
,Check,8/7/17,,"GoldenWest Management, Inc",8/1/2017 Bright Leaf,X,Management Fees,-85,9092.2
,Check,8/7/17,,"GoldenWest Management, Inc",8/1/2017 Fort Pike,X,Management Fees,-115,8977.2
,Deposit,9/9/17,,"GoldenWest Management, Inc",9/1/2017 Fort Pike,X,Rental Income,1550,10527.2
,Deposit,9/9/17,,"GoldenWest Management, Inc",9/2017 balance hold $500 Bright Leaf,X,Rental Income,1095,11622.2
,Check,9/9/17,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,11507.2
,Check,9/9/17,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,11422.2
,Check,9/11/17,,ELDORADO THIRD CA,paid BOA chk #1589 Bright Leaf,X,Community Association Fee,-63,11359.2
,Check,9/22/17,,MOUNTAINS EDGE MASTER ASSOCIATION,paid BOA chk #1590 Fort Pike,X,Community Association Fee,-192,11167.2
,Check,10/2/17,,"GoldenWest Management, Inc",10/1/2017 Bright Leaf,X,Management Fees,-85,11082.2
,Check,10/2/17,,"GoldenWest Management, Inc",10/1/2017 Fort Pike,X,Management Fees,-115,10967.2
,Deposit,10/2/17,,"GoldenWest Management, Inc",10/2017 balance hold $500 Bright Leaf,X,Rental Income,1095,12062.2
,Deposit,10/2/17,,"GoldenWest Management, Inc",10/1/2017 Fort Pike,X,Rental Income,1550,13612.2
,Check,10/2/17,,Cortis Property service,bright leaf 245+255+95,X,Repairs and Maintenance,-595,13017.2
,Check,10/2/17,,Cortis Property service,fort pike 165,X,Repairs and Maintenance,-165,12852.2
,Check,11/3/17,,"GoldenWest Management, Inc",11/1/2017 Bright Leaf,X,Management Fees,-85,12767.2
,Check,11/3/17,,"GoldenWest Management, Inc",11/1/2017 Fort Pike,X,Management Fees,-115,12652.2
,Deposit,11/3/17,,"GoldenWest Management, Inc",11/2017 balance hold $500 Bright Leaf,X,Rental Income,1095,13747.2
,Deposit,11/3/17,,"GoldenWest Management, Inc",11/1/2017 Fort Pike,X,Rental Income,1550,15297.2
,Check,11/25/17,,TRI TRAN,washer & dryer Bright Leaf,X,Repairs and Maintenance,-1241.24,14055.96
,Check,11/25/17,,TRI TRAN,warranty Bright Leaf,X,Repairs and Maintenance,-219.99,13835.97
,Check,12/9/17,,"GoldenWest Management, Inc",12/17/2022 Bright Leaf,X,Management Fees,-85,13810.97
,Check,12/9/17,,"GoldenWest Management, Inc",12/17/2022 Fort Pike,X,Management Fees,-115,13695.97
,Deposit,12/9/17,,"GoldenWest Management, Inc",12/17/2022 Fort Pike,X,Rental Income,1550,15245.97
,Deposit,12/9/17,,"GoldenWest Management, Inc",12/17 balance hold $500 Bright Leaf,X,Rental Income,1095,16340.97
,Check,12/24/17,,MOUNTAINS EDGE MASTER ASSOCIATION,12/1/2017 Fort Pike,X,Community Association Fee,-192,16148.97
,Check,12/26/17,,State Farm Fire and Casualty Company,2018 Bright Leaf,X,Insurance Expense,-536,15612.97
,Check,1/3/18,,ELDORADO THIRD CA,paid boa chk #1598 Bright Leaf,X,Community Association Fee,-63,11271.12
,Check,1/9/18,,"GoldenWest Management, Inc",1/1/2018 Bright Leaf,X,Management Fees,-85,11186.12
,Check,1/9/18,,"GoldenWest Management, Inc",1/1/2018 Fort Pike,X,Management Fees,-115,11071.12
,Deposit,1/9/18,,"GoldenWest Management, Inc",1/1/2018 Bright Leaf,X,Rental Income,1095,12166.12
,Deposit,1/9/18,,"GoldenWest Management, Inc",1/1/2018 Fort Pike,X,Rental Income,1550,13716.12
,Check,1/10/18,,State Farm Fire and Casualty Company,2018 Fort Pike,X,Insurance Expense,-671,13045.12
,Check,2/9/18,,"GoldenWest Management, Inc",2/1/2018 Bright Leaf,X,Management Fees,-85,960.12
,Check,2/9/18,,"GoldenWest Management, Inc",2/1/2018 Fort Pike,X,Management Fees,-115,845.12
,Deposit,2/9/18,,"GoldenWest Management, Inc",2/1/2018 Fort Pike ,X,Rental Income,1550,2395.12
,Deposit,2/9/18,,"GoldenWest Management, Inc",Deposit Bright Leaf,X,Rental Income,1095,3490.12
,Check,3/8/18,,"GoldenWest Management, Inc",3/1/2018 Bright Leaf,X,Management Fees,-85,3405.12
,Check,3/8/18,,"GoldenWest Management, Inc",3/1/2018 Fort Pike,X,Management Fees,-115,3290.12
,Deposit,3/8/18,,"GoldenWest Management, Inc",3/1/2018 Bright Leaf,X,Rental Income,1095,4385.12
,Deposit,3/8/18,,"GoldenWest Management, Inc",3/1/2018 Fort Pike,X,Rental Income,1550,5935.12
,Check,3/20/18,,MOUNTAINS EDGE MASTER ASSOCIATION,boa chk #1384 Fort Pike,X,Community Association Fee,-192,5743.12
,Check,3/20/18,,ELDORADO THIRD CA,boa chk #1385 Bright Leaf,X,Community Association Fee,-63,5680.12
,Check,4/4/18,,FRANCHISE TAX BOARD,2018,X,LLC Tax,-800,4880.12
,Check,4/8/18,,"GoldenWest Management, Inc",4/1/2018 Bright Leaf,X,Management Fees,-85,4795.12
,Check,4/8/18,,"GoldenWest Management, Inc",4/1/2018 Fort Pike,X,Management Fees,-115,4680.12
,Deposit,4/8/18,,"GoldenWest Management, Inc",4/1/2018 Fort Pike,X,Rental Income,1550,6230.12
,Deposit,4/8/18,,"GoldenWest Management, Inc",4/2018 on hold $500 Bright Leaf,X,Rental Income,1095,7325.12
,Check,5/10/18,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-85,7220.12
,Check,5/10/18,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,7105.12
,Check,5/10/18,,AMERICAN HOME MECHANICAL LLC.,Fort Pike,X,Repairs and Maintenance,-110,6995.12
,Check,5/10/18,,AMERICAN HOME MECHANICAL LLC.,Fort Pike,X,Repairs and Maintenance,-55,6940.12
